source,target,length,time,costing
891e037aa97ffff,891e037aaa7ffff,1.618,1247.773,pedestrian
891e036a50bffff,891e036318fffff,13.393,10279.234,pedestrian
891e03459a3ffff,891e037a323ffff,8.749,7170.842,pedestrian
891e037aa4fffff,891e0371193ffff,11.606,9113.343,pedestrian
891e037144fffff,891e03784a3ffff,12.493,10218.744,pedestrian
891e037a2bbffff,891e0371627ffff,11.754,9274.485,pedestrian
891e037a843ffff,891e037aea7ffff,1.654,1274.508,pedestrian
891e037a3c3ffff,891e037a043ffff,1.933,1506.369,pedestrian
891e037a84bffff,891e036327bffff,7.64,5948.307,pedestrian
891e03636a7ffff,891e036304bffff,3.655,2886.844,pedestrian
891e03616b3ffff,891e0379c9bffff,15.267,11552.495,pedestrian
891e037a857ffff,891e037a843ffff,0.38,306.751,pedestrian
891e037ab4fffff,891e03791abffff,11.497,9043.474,pedestrian
891e037a06fffff,891e036364bffff,10.744,8805.691,pedestrian
891e037a9a3ffff,891e0378513ffff,9.217,7340.685,pedestrian
891e0371b77ffff,891e0378037ffff,13.777,10908.778,pedestrian
891e0371697ffff,891e037332fffff,22.848,17640.933,pedestrian
891e036a6dbffff,891e036a057ffff,4.369,3304.615,pedestrian
891e0378567ffff,891e037852bffff,0.422,361.534,pedestrian
891e037185bffff,891e037aa07ffff,8.257,6420.358,pedestrian
891e0360e3bffff,891e0360637ffff,6.938,5266.911,pedestrian
891e037a047ffff,891e037a2b7ffff,1.203,964.848,pedestrian
891e036a2a7ffff,891e0378b5bffff,5.932,4442.473,pedestrian
891e0360e3bffff,891e0360e37ffff,0.778,637.098,pedestrian
891e0379dd3ffff,891e037aa6fffff,6.504,5032.543,pedestrian
891e037ad93ffff,891e037acb3ffff,2.322,1767.168,pedestrian
891e0371e2bffff,891e037ab93ffff,6.043,4620.704,pedestrian
891e0360637ffff,891e03630cfffff,6.378,4848.783,pedestrian
891e037aa03ffff,891e0378c63ffff,3.949,3116.911,pedestrian
891e036add3ffff,891e0361207ffff,4.279,3242.627,pedestrian
891e037a143ffff,891e037aa53ffff,6.331,5132.104,pedestrian
891e0371abbffff,891e03783a7ffff,12.352,9592.762,pedestrian
891e0378bcfffff,891e0361033ffff,8.484,6451.259,pedestrian
891e0363667ffff,891e037a84bffff,7.097,5448.288,pedestrian
891e0378313ffff,891e03783abffff,0.881,680.471,pedestrian
891e0379927ffff,891e036343bffff,14.648,11212.337,pedestrian
891e036ac77ffff,891e037aaabffff,15.294,11657.63,pedestrian
891e0378ed3ffff,891e0378c0fffff,4.093,3178.15,pedestrian
891e037ab2bffff,891e0378ec3ffff,7.014,5337.94,pedestrian
891e0345d33ffff,891e0344ad3ffff,2.017,1977.612,pedestrian
891e0371343ffff,891e037aa37ffff,6.622,5252.068,pedestrian
891e0379847ffff,891e0378313ffff,6.471,5003.518,pedestrian
891e0371a83ffff,891e037185bffff,0.754,581.599,pedestrian
891e0379d83ffff,891e03781cbffff,3.966,3091.701,pedestrian
891e037a3a7ffff,891e0378d5bffff,8.754,7086.325,pedestrian
891e0378c1bffff,891e0378ccfffff,0.548,421.339,pedestrian
