source,target,length,time,costing
891e03714a3ffff,891e0371003ffff,3.682,252.988,auto
891e036a3cbffff,891e0378963ffff,14.644,825.273,auto
891e0371167ffff,891e0379d33ffff,19.998,1405.092,auto
891e037ad4bffff,891e0371e07ffff,9.403,608.023,auto
891e03611b7ffff,891e03602a7ffff,2.552,180.75,auto
891e037a9afffff,891e037a983ffff,1.539,138.902,auto
891e0371aa7ffff,891e0371c0fffff,4.76,403.261,auto
891e0378163ffff,891e0378157ffff,1.659,145.5,auto
891e037a39bffff,891e037aa2fffff,9.034,828.798,auto
891e0371143ffff,891e037a38fffff,10.956,792.405,auto
891e037a02fffff,891e037ab5bffff,10.134,841.175,auto
891e03632b7ffff,891e0363077ffff,5.047,462.318,auto
891e03614cbffff,891e037aa8fffff,9.614,813.793,auto
891e036318fffff,891e037aad7ffff,12.357,918.705,auto
891e036327bffff,891e0363247ffff,0.693,57.965,auto
891e03786b7ffff,891e037aca3ffff,13.243,1026.288,auto
891e037ac37ffff,891e0378cabffff,9.7,658.064,auto
891e03631b3ffff,891e037ac0fffff,12.753,849.813,auto
891e034598fffff,891e03713a3ffff,18.029,1323.588,auto
891e03603d7ffff,891e037a81bffff,17.668,1226.155,auto
891e037a827ffff,891e037ae77ffff,6.632,470.799,auto
891e0371a83ffff,891e03633a3ffff,16.414,1099.634,auto
891e03603d3ffff,891e03630d3ffff,9.42,645.717,auto
891e0371e87ffff,891e037aad7ffff,10.324,677.257,auto
891e0378903ffff,891e0379d37ffff,9.24,704.472,auto
891e03784abffff,891e03785a3ffff,4.356,418.789,auto
891e037aba7ffff,891e037a2b7ffff,11.34,949.361,auto
891e037aa63ffff,891e0378cdbffff,3.039,294.562,auto
891e037a367ffff,891e0378313ffff,6.045,481.041,auto
891e0360ec3ffff,891e037aa0bffff,20.452,1474.674,auto
891e036323bffff,891e036364bffff,5.644,461.815,auto
891e036262bffff,891e03631a3ffff,4.54,431.952,auto
891e036a603ffff,891e0379ba3ffff,3.271,324.658,auto
891e0378cd3ffff,891e0361543ffff,12.497,901.407,auto
891e0378c77ffff,891e037a93bffff,6.514,429.481,auto
891e0361297ffff,891e03606cfffff,13.219,981.962,auto
891e037aba3ffff,891e037a86fffff,2.619,247.184,auto
891e037a9c7ffff,891e037857bffff,8.356,700.788,auto
891e0361447ffff,891e0378327ffff,10.951,793.379,auto
891e0378a4fffff,891e036a653ffff,4.567,432.947,auto
891e037abd7ffff,891e03712b3ffff,9.849,643.575,auto
891e036a437ffff,891e037a8cfffff,12.746,951.604,auto
891e037ac77ffff,891e037a36fffff,6.236,539.085,auto
891e034497bffff,891e034496fffff,0.752,84.88,auto
891e034592bffff,891e037a44bffff,1.227,109.864,auto
891e0370217ffff,891e037ab37ffff,18.303,963.203,auto
891e037337bffff,891e037aa73ffff,15.698,1092.254,auto
891e036ac77ffff,891e036100fffff,5.968,483.977,auto
891e0371a4bffff,891e0371347ffff,7.694,526.714,auto
891e037a137ffff,891e037aac7ffff,6.742,513.021,auto
891e0378da7ffff,891e036366bffff,0.441,51.589,auto
891e036052fffff,891e037a86fffff,16.967,1275.168,auto
891e037aad7ffff,891e036308bffff,9.123,704.642,auto
891e0371a87ffff,891e03713afffff,3.615,339.974,auto
891e037ac03ffff,891e037858fffff,8.773,744.52,auto
891e037aea3ffff,891e0378c83ffff,5.702,520.474,auto
891e0379acfffff,891e03788cfffff,13.933,890.838,auto
891e0360e23ffff,891e037a907ffff,17.632,1276.729,auto
891e0361e43ffff,891e0361e5bffff,0.535,77.405,auto
891e03636d7ffff,891e037a97bffff,2.289,182.241,auto
891e1cb6dc7ffff,891e0379d5bffff,10.237,723.735,auto
891e03613d7ffff,891e036106fffff,0.497,61.74,auto
891e037a90bffff,891e037ac37ffff,4.83,348.346,auto
891e0345d2bffff,891e0378123ffff,15.084,1214.934,auto
891e037aa03ffff,891e0378e97ffff,5.503,519.408,auto
891e0379c0fffff,891e0378c83ffff,10.432,771.219,auto
891e037134bffff,891e037ac6bffff,3.266,271.263,auto
891e037184bffff,891e0371343ffff,9.601,617.886,auto
891e0378c17ffff,891e0378117ffff,3.448,395.586,auto
891e0363483ffff,891e037a967ffff,2.879,235.223,auto
891e0371b23ffff,891e03635abffff,2.039,194.54,auto
891e03636c7ffff,891e0361383ffff,15.735,1088.602,auto
891e0360533ffff,891e0360493ffff,6.169,532.561,auto
891e0378c1bffff,891e03789cfffff,5.196,403.26,auto
891e0378b5bffff,891e037810bffff,8.065,586.963,auto
891e03783a7ffff,891e037ab8bffff,6.753,586.999,auto
891e0378c33ffff,891e037128bffff,13.225,834.043,auto
891e037186bffff,891e037187bffff,1.64,170.044,auto
891e037aa23ffff,891e0378c37ffff,3.233,335.635,auto
891e03600c7ffff,891e037a897ffff,15.183,1078.71,auto
891e0371203ffff,891e037a5b3ffff,4.325,345.584,auto
891e037ae93ffff,891e037ae67ffff,3.405,291.684,auto
891e0378143ffff,891e037830bffff,2.93,242.036,auto
891e037aa97ffff,891e037aaa7ffff,2.005,200.893,auto
891e036a50bffff,891e036318fffff,21.02,1353.805,auto
891e03459a3ffff,891e037a323ffff,8.984,829.232,auto
891e037aa4fffff,891e0371193ffff,12.073,884.321,auto
891e037144fffff,891e03784a3ffff,13.76,1025.163,auto
891e037a2bbffff,891e0371627ffff,10.301,767.477,auto
891e037a843ffff,891e037aea7ffff,2.71,277.583,auto
891e037a3c3ffff,891e037a043ffff,2.183,205.671,auto
891e037a84bffff,891e036327bffff,7.711,610.958,auto
891e03636a7ffff,891e036304bffff,3.071,240.888,auto
891e03616b3ffff,891e0379c9bffff,15.936,1112.027,auto
891e037a857ffff,891e037a843ffff,0.613,86.659,auto
891e037ab4fffff,891e03791abffff,13.527,1101.285,auto
891e037a06fffff,891e036364bffff,13.974,959.489,auto
891e037a9a3ffff,891e0378513ffff,11.858,934.114,auto
891e0371b77ffff,891e0378037ffff,13.666,1073.15,auto
891e0371697ffff,891e037332fffff,28.668,7941.187,auto
891e036a6dbffff,891e036a057ffff,12.585,957.912,auto
891e0378567ffff,891e037852bffff,0.4,50.284,auto
891e037185bffff,891e037aa07ffff,13.126,850.588,auto
891e0360e3bffff,891e0360637ffff,7.249,566.655,auto
891e037a047ffff,891e037a2b7ffff,1.215,202.834,auto
891e036a2a7ffff,891e0378b5bffff,6.192,406.42,auto
891e0360e3bffff,891e0360e37ffff,0.778,85.161,auto
891e0379dd3ffff,891e037aa6fffff,11.661,854.728,auto
891e037ad93ffff,891e037acb3ffff,2.416,275.237,auto
891e0371e2bffff,891e037ab93ffff,7.204,487.083,auto
891e0360637ffff,891e03630cfffff,6.693,551.529,auto
891e037aa03ffff,891e0378c63ffff,9.309,696.261,auto
891e036add3ffff,891e0361207ffff,5.623,459.5,auto
